Sensor,Coefficient,Intercept
MNUMS 109,0.10777624481519885,4.034209514336813
MNUMS 110,0.3169030430140599,2.8673393250689716
MNUMS 111,0.30487679422277236,2.8343780350882226
MNUMS 112,0.33426105839693104,2.7781230940742727
MNUMS 113,0.28297459884408854,2.7790291901436808
MNUMS 114,0.16863625207848112,3.5722614629242875
MNUMS 115,0.3018009389198886,2.8896387746683185
MNUMS 116,0.32264379975119456,2.826878930765169
MNUMS 117,0.32764179115155706,2.8092987767327413
MNUMS 118,0.15122637141563317,3.7403447472868425
MNUMS 119,0.1431867198042513,3.8162370579401963
MNUMS 120,0.15527601636848637,3.6867442788176046
MNUMS 85,0.14873541637580376,3.756373904982095
MNUMS 86,0.14881485299471436,3.7471023712551563
MNUMS 87,0.18486104007170867,3.686377443171109
