Sensor,Coefficient,Intercept
MNUMS 109,0.3396574573372082,4.354411232860521
MNUMS 110,0.6990628340495193,2.4048212249564136
MNUMS 111,0.7225276452820609,2.4581484111819485
MNUMS 112,0.7941039909444105,2.0724229584068325
MNUMS 113,0.8086688781836753,1.7505482829647407
MNUMS 114,0.7712161665961079,1.4433420843619142
MNUMS 115,0.753274062247911,2.3329593778204467
MNUMS 116,0.8887435518233953,1.6384951611765448
MNUMS 117,0.8668341357548718,1.5284483561340272
MNUMS 118,0.7387813451455235,1.3290532198358065
MNUMS 119,0.7398750589205726,1.0592865446195114
MNUMS 120,0.7380186195078127,1.0626506474577377
MNUMS 85,0.6734091175038517,1.4367184141361182
MNUMS 86,0.47310086852166877,3.469210518211362
MNUMS 87,0.5424488868904975,3.4860899636297815
