sensor_index,Sensor Name,timestamp,pa_latency,memory,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b
195055,MNUMS 121,1717516800,445,6303,13.0,13.0,13.0,94.0,94.0,94.0,861.603,861.603,861.603,88.52,,88.52,0.405,1.7,1.7,,5.6,5.6,,5.1,5.1,,233.1,233.1,,373.876,373.876,,99.6,99.6,,17.985,17.985,,2.099,2.099,,1.219,1.219,,0.162,0.162,,0.921,0.921,,0.921,0.921,,1.812,1.812,,1.812,1.812,,2.56,2.56,,2.56,2.56,
195055,MNUMS 121,1717531200,421,6303,13.0,13.0,13.0,94.0,94.0,94.0,859.366,859.366,859.366,77.591,,77.591,0.45,1.8,1.8,,4.8,4.8,,4.6,4.6,,247.2,247.2,,321.101,321.101,,87.708,87.708,,23.502,23.502,,4.335,4.335,,2.689,2.689,,0.399,0.399,,0.643,0.643,,0.643,0.643,,1.904,1.904,,1.904,1.904,,3.595,3.595,,3.595,3.595,
195055,MNUMS 121,1717488000,539,6334,10.867,10.867,10.867,93.6,93.6,93.6,861.824,861.824,861.824,77.26,,77.26,0.405,0.9,0.9,,2.9,2.9,,3.0,3.0,,288.9,288.9,,194.397,194.397,,50.441,50.441,,9.692,9.692,,1.229,1.229,,0.665,0.665,,0.186,0.186,,0.045,0.045,,0.045,0.045,,0.463,0.463,,0.463,0.463,,0.908,0.908,,0.908,0.908,
195055,MNUMS 121,1717567200,436,6314,17.733,17.733,17.733,92.0,92.0,92.0,861.13,861.13,861.13,61.117,,61.117,0.46,1.2,1.2,,4.5,4.5,,4.3,4.3,,253.7,253.7,,298.32,298.32,,77.639,77.639,,12.247,12.247,,1.232,1.232,,0.625,0.625,,0.057,0.057,,0.542,0.542,,0.542,0.542,,1.083,1.083,,1.083,1.083,,1.501,1.501,,1.501,1.501,
195055,MNUMS 121,1717592400,532,6300,15.566,15.566,15.566,89.334,89.334,89.334,866.854,866.854,866.854,56.531,,56.531,0.487,1.6,1.6,,5.3,5.3,,4.9,4.9,,239.0,239.0,,350.932,350.932,,93.656,93.656,,17.391,17.391,,2.332,2.332,,1.425,1.425,,0.258,0.258,,0.838,0.838,,0.838,0.838,,1.671,1.671,,1.671,1.671,,2.59,2.59,,2.59,2.59,
195055,MNUMS 121,1717624800,435,6311,15.0,15.0,15.0,86.067,86.067,86.067,868.315,868.315,868.315,68.918,,68.918,0.553,3.5,3.5,,11.8,11.8,,8.8,8.8,,161.2,161.2,,788.739,788.739,,209.507,209.507,,35.57,35.57,,2.676,2.676,,1.381,1.381,,0.2,0.2,,3.135,3.135,,3.135,3.135,,4.85,4.85,,4.848,4.848,,5.753,5.753,,5.752,5.752,
195055,MNUMS 121,1717556400,449,6286,16.934,16.934,16.934,93.0,93.0,93.0,861.188,861.188,861.188,57.575,,57.575,0.423,2.4,2.4,,7.4,7.4,,6.3,6.3,,206.8,206.8,,491.991,491.991,,131.352,131.352,,27.033,27.033,,3.423,3.423,,2.201,2.201,,0.414,0.414,,1.472,1.472,,1.472,1.472,,2.884,2.884,,2.884,2.884,,4.277,4.277,,4.277,4.277,
195055,MNUMS 121,1717549200,454,6297,14.733,14.733,14.733,93.534,93.534,93.534,861.436,861.436,861.436,52.472,,52.472,0.438,1.8,1.8,,5.4,5.4,,5.0,5.0,,235.9,235.9,,363.017,363.017,,97.905,97.905,,22.423,22.423,,3.431,3.431,,2.005,2.005,,0.42,0.42,,0.917,0.917,,0.917,0.917,,2.019,2.019,,2.019,2.019,,3.362,3.362,,3.362,3.362,
195055,MNUMS 121,1717610400,427,6314,14.066,14.066,14.066,88.0,88.0,88.0,867.866,867.866,867.866,60.072,,60.072,0.563,2.7,2.7,,9.1,9.1,,7.4,7.4,,186.3,186.3,,607.686,607.686,,158.495,158.495,,27.09,27.09,,2.006,2.006,,1.043,1.043,,0.215,0.215,,2.146,2.146,,2.146,2.146,,3.396,3.396,,3.396,3.396,,4.064,4.064,,4.064,4.064,
195055,MNUMS 121,1717578000,450,6320,17.133,17.133,17.133,91.0,91.0,91.0,863.036,863.036,863.036,70.142,,70.142,0.487,1.2,1.2,,4.2,4.2,,4.1,4.1,,259.1,259.1,,280.545,280.545,,73.508,73.508,,11.5,11.5,,1.065,1.065,,0.528,0.528,,0.071,0.071,,0.48,0.48,,0.48,0.48,,1.038,1.038,,1.038,1.038,,1.377,1.377,,1.377,1.377,
