"DateTime","Average","MNUMS 192 A"
"2024-06-04 10:00:00",4.7,2.497
"2024-06-06 10:00:00",,7.167
"2024-06-06 11:00:00",,7.962
"2024-06-06 12:00:00",,6.251
"2024-06-06 13:00:00",,5.309
"2024-06-06 14:00:00",,4.593
"2024-06-06 15:00:00",,2.511
"2024-06-06 16:00:00",,2.216
"2024-06-06 17:00:00",,1.525
"2024-06-06 18:00:00",,0.871
"2024-06-06 19:00:00",,0.824
"2024-06-06 20:00:00",,0.987
"2024-06-06 21:00:00",,1.494
"2024-06-06 22:00:00",,3.294
"2024-06-06 23:00:00",,6.704
"2024-06-07 00:00:00",,6.986
"2024-06-07 01:00:00",,10.14
"2024-06-07 02:00:00",,9.476
"2024-06-07 03:00:00",,7.232
"2024-06-07 04:00:00",,6.107
"2024-06-07 05:00:00",,4.893
"2024-06-07 06:00:00",,4.198
"2024-06-07 07:00:00",,4.387
"2024-06-07 08:00:00",,5.213
"2024-06-07 09:00:00",,4.567
"2024-06-07 10:00:00",,4.236
"2024-06-07 11:00:00",,4.602
"2024-06-07 12:00:00",4.7,4.261
