"DateTime","Average","MNUMS 197 A","MNUMS 197 B"
"2024-06-04 13:00:00",8,24.787,21.287
"2024-06-06 10:00:00",,10.335,10.474
"2024-06-06 11:00:00",,11.803,12.218
"2024-06-06 12:00:00",,9.678,9.998
"2024-06-06 13:00:00",,8.774,8.998
"2024-06-06 14:00:00",,7.135,7.404
"2024-06-06 15:00:00",,4.476,4.503
"2024-06-06 16:00:00",,3.92,4.123
"2024-06-06 17:00:00",,2.724,2.844
"2024-06-06 18:00:00",,1.692,1.976
"2024-06-06 19:00:00",,1.796,1.788
"2024-06-06 20:00:00",,1.963,1.981
"2024-06-06 21:00:00",,2.609,2.878
"2024-06-06 22:00:00",,4.829,5.114
"2024-06-06 23:00:00",,9.494,9.872
"2024-06-07 00:00:00",,10.613,11.229
"2024-06-07 01:00:00",,14.291,14.978
"2024-06-07 02:00:00",,13.864,14.183
"2024-06-07 03:00:00",,11.349,11.701
"2024-06-07 04:00:00",,9.902,10.348
"2024-06-07 05:00:00",,8.2,8.354
"2024-06-07 06:00:00",,7.189,7.335
"2024-06-07 07:00:00",,7.256,7.603
"2024-06-07 08:00:00",,7.873,8.185
"2024-06-07 09:00:00",,6.909,7.06
"2024-06-07 10:00:00",,6.433,6.617
"2024-06-07 11:00:00",,7.252,7.412
"2024-06-07 12:00:00",8,6.327,6.692
