"DateTime","Average","MNUMS 199 A","MNUMS 199 B"
"2024-06-04 11:00:00",7.7,3.54,3.795
"2024-06-06 10:00:00",,10.027,11.444
"2024-06-06 11:00:00",,11.569,12.993
"2024-06-06 12:00:00",,9.45,10.705
"2024-06-06 13:00:00",,8.431,9.757
"2024-06-06 14:00:00",,6.977,7.802
"2024-06-06 15:00:00",,4.203,4.852
"2024-06-06 16:00:00",,3.715,4.349
"2024-06-06 17:00:00",,2.596,2.861
"2024-06-06 18:00:00",,1.716,2.018
"2024-06-06 19:00:00",,1.683,2.094
"2024-06-06 20:00:00",,1.846,2.17
"2024-06-06 21:00:00",,2.588,3.006
"2024-06-06 22:00:00",,5.183,5.73
"2024-06-06 23:00:00",,9.962,11.09
"2024-06-07 00:00:00",,11.601,13.088
"2024-06-07 01:00:00",,15.07,16.765
"2024-06-07 02:00:00",,14.302,15.696
"2024-06-07 03:00:00",,11.644,12.747
"2024-06-07 04:00:00",,10.072,11.278
"2024-06-07 05:00:00",,8.389,9.335
"2024-06-07 06:00:00",,7.533,8.152
"2024-06-07 07:00:00",,7.343,7.919
"2024-06-07 08:00:00",,8.054,8.871
"2024-06-07 09:00:00",,6.864,7.653
"2024-06-07 10:00:00",,6.523,7.232
"2024-06-07 11:00:00",,7.428,7.716
"2024-06-07 12:00:00",7.7,6.823,7.151
