"DateTime","Average","MNUMS 196 A","MNUMS 196 B"
"2024-06-04 12:00:00",9.7,48.504,63.876
"2024-06-06 10:00:00",,10.785,11.62
"2024-06-06 11:00:00",,12.644,13.339
"2024-06-06 12:00:00",,10.256,11.038
"2024-06-06 13:00:00",,8.857,10.01
"2024-06-06 14:00:00",,7.622,8.215
"2024-06-06 15:00:00",,4.654,5.077
"2024-06-06 16:00:00",,4.238,4.601
"2024-06-06 17:00:00",,3.037,3.155
"2024-06-06 18:00:00",,2.148,2.381
"2024-06-06 19:00:00",,1.843,2.06
"2024-06-06 20:00:00",,2.005,2.031
"2024-06-06 21:00:00",,2.869,2.899
"2024-06-06 22:00:00",,6.264,6.584
"2024-06-06 23:00:00",,10.29,10.971
"2024-06-07 00:00:00",,11.576,12.052
"2024-06-07 01:00:00",,14.156,15.155
"2024-06-07 02:00:00",,14.547,14.865
"2024-06-07 03:00:00",,11.931,12.551
"2024-06-07 04:00:00",,10.177,10.4
"2024-06-07 05:00:00",,8.399,9.04
"2024-06-07 06:00:00",,7.462,7.873
"2024-06-07 07:00:00",,6.977,7.454
"2024-06-07 08:00:00",,8.524,8.668
"2024-06-07 09:00:00",,7.249,7.752
"2024-06-07 10:00:00",,6.937,7.264
"2024-06-07 11:00:00",,7.351,8.057
"2024-06-07 12:00:00",9.7,6.965,7.37
