"DateTime","Average","MNUMS 174 A"
"2024-06-03 16:00:00",4.6,58.401
"2024-06-03 17:00:00",,2.415
"2024-06-04 14:00:00",,1.377
"2024-06-04 15:00:00",,1.102
"2024-06-04 16:00:00",,0.8
"2024-06-04 17:00:00",,0.668
"2024-06-04 18:00:00",,0.524
"2024-06-04 19:00:00",,0.875
"2024-06-04 20:00:00",,1.403
"2024-06-04 21:00:00",,1.081
"2024-06-04 22:00:00",,1.278
"2024-06-04 23:00:00",,1.458
"2024-06-05 00:00:00",,2.013
"2024-06-05 01:00:00",,1.986
"2024-06-05 02:00:00",,1.875
"2024-06-05 03:00:00",,2.248
"2024-06-05 04:00:00",,2.247
"2024-06-05 05:00:00",,1.933
"2024-06-05 06:00:00",,1.866
"2024-06-05 07:00:00",,1.996
"2024-06-05 08:00:00",,2.289
"2024-06-06 10:00:00",,6.635
"2024-06-06 11:00:00",,7.925
"2024-06-06 12:00:00",,6.434
"2024-06-06 13:00:00",,5.308
"2024-06-06 14:00:00",,4.407
"2024-06-06 15:00:00",,2.459
"2024-06-06 16:00:00",,2.274
"2024-06-06 17:00:00",,1.244
"2024-06-06 18:00:00",,0.777
"2024-06-06 19:00:00",,0.805
"2024-06-06 20:00:00",,0.848
"2024-06-06 21:00:00",,1.362
"2024-06-06 22:00:00",,3.932
"2024-06-06 23:00:00",,7.445
"2024-06-07 00:00:00",,7.764
"2024-06-07 01:00:00",,10.203
"2024-06-07 02:00:00",,9.96
"2024-06-07 03:00:00",,7.373
"2024-06-07 04:00:00",,6.168
"2024-06-07 05:00:00",,5.042
"2024-06-07 06:00:00",,4.132
"2024-06-07 07:00:00",,4.157
"2024-06-07 08:00:00",,5.343
"2024-06-07 09:00:00",,4.538
"2024-06-07 10:00:00",,4.032
"2024-06-07 11:00:00",4.6,4.251
