"DateTime","Average","MNUMS 206 A","MNUMS 206 B"
"2024-06-04 13:00:00",8.4,13.911,15.314
"2024-06-06 10:00:00",,11.098,11.059
"2024-06-06 11:00:00",,12.572,13.046
"2024-06-06 12:00:00",,10.361,10.834
"2024-06-06 13:00:00",,9.233,9.654
"2024-06-06 14:00:00",,7.641,7.974
"2024-06-06 15:00:00",,4.88,5.08
"2024-06-06 16:00:00",,4.082,4.452
"2024-06-06 17:00:00",,2.938,3.157
"2024-06-06 18:00:00",,2.135,2.202
"2024-06-06 19:00:00",,2.083,2.092
"2024-06-06 20:00:00",,2.284,2.308
"2024-06-06 21:00:00",,3.045,3.193
"2024-06-06 22:00:00",,5.606,5.782
"2024-06-06 23:00:00",,10.793,10.862
"2024-06-07 00:00:00",,12,12.43
"2024-06-07 01:00:00",,16.029,16.599
"2024-06-07 02:00:00",,15.008,15.62
"2024-06-07 03:00:00",,12.407,12.753
"2024-06-07 04:00:00",,10.796,11.088
"2024-06-07 05:00:00",,8.78,9.273
"2024-06-07 06:00:00",,7.982,8.266
"2024-06-07 07:00:00",,7.809,8.12
"2024-06-07 08:00:00",,8.711,8.93
"2024-06-07 09:00:00",,7.226,7.76
"2024-06-07 10:00:00",,6.864,7.242
"2024-06-07 11:00:00",,7.11,7.629
"2024-06-07 12:00:00",8.4,6.582,6.681
