"DateTime","Average","MNUMS 201 A","MNUMS 201 B"
"2024-06-04 12:00:00",7.4,9.762,9.075
"2024-06-06 10:00:00",,10.097,10.55
"2024-06-06 11:00:00",,11.562,12.11
"2024-06-06 12:00:00",,9.619,10.014
"2024-06-06 13:00:00",,8.471,9.155
"2024-06-06 14:00:00",,7.077,7.362
"2024-06-06 15:00:00",,4.13,4.467
"2024-06-06 16:00:00",,3.725,4.002
"2024-06-06 17:00:00",,2.643,2.646
"2024-06-06 18:00:00",,1.865,1.764
"2024-06-06 19:00:00",,1.64,1.736
"2024-06-06 20:00:00",,1.699,1.776
"2024-06-06 21:00:00",,2.446,2.487
"2024-06-06 22:00:00",,5.479,5.633
"2024-06-06 23:00:00",,9.925,9.87
"2024-06-07 00:00:00",,10.826,11.284
"2024-06-07 01:00:00",,13.36,14.062
"2024-06-07 02:00:00",,13.557,14.349
"2024-06-07 03:00:00",,11.134,11.503
"2024-06-07 04:00:00",,9.486,9.961
"2024-06-07 05:00:00",,7.841,8.264
"2024-06-07 06:00:00",,6.972,7.161
"2024-06-07 07:00:00",,6.655,6.902
"2024-06-07 08:00:00",,7.905,8.262
"2024-06-07 09:00:00",,6.71,6.907
"2024-06-07 10:00:00",,6.34,6.576
"2024-06-07 11:00:00",,7.093,7.244
"2024-06-07 12:00:00",7.4,6.346,6.447
