"DateTime","Average","MNUMS 194 A","MNUMS 194 B"
"2024-06-04 11:00:00",7.4,2.697,4.475
"2024-06-06 10:00:00",,9.54,11.368
"2024-06-06 11:00:00",,11.055,12.93
"2024-06-06 12:00:00",,9.299,10.707
"2024-06-06 13:00:00",,8.299,8.642
"2024-06-06 14:00:00",,6.934,7.289
"2024-06-06 15:00:00",,4.07,4.162
"2024-06-06 16:00:00",,3.843,3.631
"2024-06-06 17:00:00",,2.407,3.118
"2024-06-06 18:00:00",,1.837,2.153
"2024-06-06 19:00:00",,1.651,1.302
"2024-06-06 20:00:00",,1.792,1.376
"2024-06-06 21:00:00",,2.516,2.262
"2024-06-06 22:00:00",,6.115,6.232
"2024-06-06 23:00:00",,10.773,11.344
"2024-06-07 00:00:00",,11.579,12.481
"2024-06-07 01:00:00",,14.902,16.64
"2024-06-07 02:00:00",,14.19,15.382
"2024-06-07 03:00:00",,11.206,12.016
"2024-06-07 04:00:00",,9.401,10.194
"2024-06-07 05:00:00",,7.795,8.116
"2024-06-07 06:00:00",,6.755,7.297
"2024-06-07 07:00:00",,6.617,7.117
"2024-06-07 08:00:00",,7.784,8.445
"2024-06-07 09:00:00",,6.259,6.828
"2024-06-07 10:00:00",,5.929,6.268
"2024-06-07 11:00:00",,6.586,7.612
"2024-06-07 12:00:00",7.4,6.162,6.701
