Sensor,Coefficient,Intercept
MNUMS 109,0.10358272100474947,4.0319096686748574
MNUMS 110,0.32246401958040205,2.8873832200820098
MNUMS 111,0.29066784399892265,2.80184813365479
MNUMS 112,0.34993530218671326,2.7675855835706757
MNUMS 113,0.26360499187087666,2.7130952341748267
MNUMS 114,0.16894057544205024,3.5138575053591157
MNUMS 115,0.29658315424282844,2.834019725397714
MNUMS 116,0.32534671401706294,2.8136252451116777
MNUMS 117,0.3396438153617629,2.8194232998726636
MNUMS 118,0.1509106644619831,3.7430395078535135
MNUMS 119,0.15165081375294717,3.85207761736647
MNUMS 120,0.16318049097394402,3.691175685738682
MNUMS 85,0.1557692182944029,3.8328836880948387
MNUMS 86,0.14754186229751778,3.7520106229316252
MNUMS 87,0.18776526860994722,3.6664290270198734
