"DateTime","Average","MNUMS 200 A","MNUMS 200 B"
"2024-06-04 12:00:00",7.7,4.056,4.633
"2024-06-06 10:00:00",,10.303,11.7
"2024-06-06 11:00:00",,11.611,13.514
"2024-06-06 12:00:00",,9.378,11.177
"2024-06-06 13:00:00",,8.213,9.757
"2024-06-06 14:00:00",,7.025,7.991
"2024-06-06 15:00:00",,4.356,4.93
"2024-06-06 16:00:00",,3.903,4.479
"2024-06-06 17:00:00",,2.732,2.897
"2024-06-06 18:00:00",,1.983,2.261
"2024-06-06 19:00:00",,1.817,2.224
"2024-06-06 20:00:00",,1.963,2.416
"2024-06-06 21:00:00",,2.604,3.346
"2024-06-06 22:00:00",,5.088,6.032
"2024-06-06 23:00:00",,9.561,11.067
"2024-06-07 00:00:00",,10.674,12.573
"2024-06-07 01:00:00",,14.309,16.624
"2024-06-07 02:00:00",,13.433,15.89
"2024-06-07 03:00:00",,11.108,13.04
"2024-06-07 04:00:00",,9.457,11.216
"2024-06-07 05:00:00",,7.894,9.342
"2024-06-07 06:00:00",,6.729,8.444
"2024-06-07 07:00:00",,6.954,8.223
"2024-06-07 08:00:00",,7.866,9.047
"2024-06-07 09:00:00",,6.657,7.883
"2024-06-07 10:00:00",,6.33,7.3
"2024-06-07 11:00:00",,7.135,8.095
"2024-06-07 12:00:00",7.7,6.454,7.314
