"DateTime","Average","MNUMS 195 A","MNUMS 195 B"
"2024-06-04 12:00:00",7.4,2.89,3.92
"2024-06-06 10:00:00",,10.024,10.567
"2024-06-06 11:00:00",,11.428,12.166
"2024-06-06 12:00:00",,9.52,10.221
"2024-06-06 13:00:00",,8.412,9.256
"2024-06-06 14:00:00",,7.018,7.758
"2024-06-06 15:00:00",,4.108,4.821
"2024-06-06 16:00:00",,3.935,4.29
"2024-06-06 17:00:00",,2.581,2.986
"2024-06-06 18:00:00",,1.685,2.202
"2024-06-06 19:00:00",,1.627,2.031
"2024-06-06 20:00:00",,1.553,1.994
"2024-06-06 21:00:00",,2.377,2.813
"2024-06-06 22:00:00",,5.785,6.405
"2024-06-06 23:00:00",,10.048,10.71
"2024-06-07 00:00:00",,10.972,11.845
"2024-06-07 01:00:00",,13.877,14.945
"2024-06-07 02:00:00",,13.839,14.577
"2024-06-07 03:00:00",,11.158,11.671
"2024-06-07 04:00:00",,9.381,10.323
"2024-06-07 05:00:00",,7.908,8.408
"2024-06-07 06:00:00",,6.998,7.84
"2024-06-07 07:00:00",,6.766,7.292
"2024-06-07 08:00:00",,7.593,8.168
"2024-06-07 09:00:00",,6.731,7.223
"2024-06-07 10:00:00",,6.372,6.886
"2024-06-07 11:00:00",,6.889,7.613
"2024-06-07 12:00:00",7.4,6.227,6.912
