"DateTime","Average","MNUMS 182 A"
"2024-06-04 08:00:00",4.9,1.96
"2024-06-06 10:00:00",,6.528
"2024-06-06 11:00:00",,7.925
"2024-06-06 12:00:00",,6.329
"2024-06-06 13:00:00",,5.264
"2024-06-06 14:00:00",,4.642
"2024-06-06 15:00:00",,2.538
"2024-06-06 16:00:00",,2.523
"2024-06-06 17:00:00",,1.554
"2024-06-06 18:00:00",,1.008
"2024-06-06 19:00:00",,0.856
"2024-06-06 20:00:00",,0.991
"2024-06-06 21:00:00",,1.647
"2024-06-06 22:00:00",,4.309
"2024-06-06 23:00:00",,8.229
"2024-06-07 00:00:00",,8.253
"2024-06-07 01:00:00",,10.948
"2024-06-07 02:00:00",,10.119
"2024-06-07 03:00:00",,7.636
"2024-06-07 04:00:00",,6.405
"2024-06-07 05:00:00",,5.116
"2024-06-07 06:00:00",,4.494
"2024-06-07 07:00:00",,4.393
"2024-06-07 08:00:00",,5.646
"2024-06-07 09:00:00",,4.745
"2024-06-07 10:00:00",,4.372
"2024-06-07 11:00:00",,4.566
"2024-06-07 12:00:00",4.9,4.519
