"DateTime","Average","MNUMS 186 A"
"2024-06-04 10:00:00",5.2,2.185
"2024-06-06 10:00:00",,7.112
"2024-06-06 11:00:00",,8.73
"2024-06-06 12:00:00",,6.773
"2024-06-06 13:00:00",,5.733
"2024-06-06 14:00:00",,4.874
"2024-06-06 15:00:00",,2.744
"2024-06-06 16:00:00",,2.572
"2024-06-06 17:00:00",,1.688
"2024-06-06 18:00:00",,1.125
"2024-06-06 19:00:00",,0.98
"2024-06-06 20:00:00",,1.158
"2024-06-06 21:00:00",,1.669
"2024-06-06 22:00:00",,3.732
"2024-06-06 23:00:00",,8.049
"2024-06-07 00:00:00",,8.291
"2024-06-07 01:00:00",,11.555
"2024-06-07 02:00:00",,10.669
"2024-06-07 03:00:00",,8.146
"2024-06-07 04:00:00",,7.035
"2024-06-07 05:00:00",,5.554
"2024-06-07 06:00:00",,4.885
"2024-06-07 07:00:00",,5.114
"2024-06-07 08:00:00",,5.965
"2024-06-07 09:00:00",,4.75
"2024-06-07 10:00:00",,4.522
"2024-06-07 11:00:00",,4.796
"2024-06-07 12:00:00",5.2,4.422
