"DateTime","Average","MNUMS 184 A"
"2024-06-03 15:00:00",4.3,2.32
"2024-06-06 10:00:00",,5.963
"2024-06-06 11:00:00",,7.334
"2024-06-06 12:00:00",,5.844
"2024-06-06 13:00:00",,4.988
"2024-06-06 14:00:00",,4.004
"2024-06-06 15:00:00",,2.129
"2024-06-06 16:00:00",,1.829
"2024-06-06 17:00:00",,1.175
"2024-06-06 18:00:00",,0.692
"2024-06-06 19:00:00",,0.722
"2024-06-06 20:00:00",,0.933
"2024-06-06 21:00:00",,1.312
"2024-06-06 22:00:00",,3.407
"2024-06-06 23:00:00",,6.877
"2024-06-07 00:00:00",,7.077
"2024-06-07 01:00:00",,9.869
"2024-06-07 02:00:00",,8.985
"2024-06-07 03:00:00",,6.446
"2024-06-07 04:00:00",,5.894
"2024-06-07 05:00:00",,4.327
"2024-06-07 06:00:00",,3.919
"2024-06-07 07:00:00",,3.94
"2024-06-07 08:00:00",,4.747
"2024-06-07 09:00:00",,3.627
"2024-06-07 10:00:00",,3.493
"2024-06-07 11:00:00",,3.503
"2024-06-07 12:00:00",4.3,3.676
