"DateTime","Average","MNUMS 203 A","MNUMS 203 B"
"2024-06-04 12:00:00",8.9,24.885,28.622
"2024-06-06 10:00:00",,10.598,12.172
"2024-06-06 11:00:00",,12.252,13.752
"2024-06-06 12:00:00",,10.164,11.602
"2024-06-06 13:00:00",,9.207,10.502
"2024-06-06 14:00:00",,7.327,8.632
"2024-06-06 15:00:00",,4.485,5.446
"2024-06-06 16:00:00",,3.771,4.817
"2024-06-06 17:00:00",,2.802,3.308
"2024-06-06 18:00:00",,1.775,2.312
"2024-06-06 19:00:00",,1.734,2.314
"2024-06-06 20:00:00",,1.8,2.399
"2024-06-06 21:00:00",,2.512,3.121
"2024-06-06 22:00:00",,5.741,6.525
"2024-06-06 23:00:00",,10.085,11.529
"2024-06-07 00:00:00",,11.739,13.441
"2024-06-07 01:00:00",,14.741,16.551
"2024-06-07 02:00:00",,14.362,16.228
"2024-06-07 03:00:00",,11.87,13.275
"2024-06-07 04:00:00",,9.941,11.552
"2024-06-07 05:00:00",,8.259,9.592
"2024-06-07 06:00:00",,7.363,8.555
"2024-06-07 07:00:00",,7.142,8.416
"2024-06-07 08:00:00",,8.202,9.422
"2024-06-07 09:00:00",,7.019,8.207
"2024-06-07 10:00:00",,6.607,7.854
"2024-06-07 11:00:00",,7.317,8.569
"2024-06-07 12:00:00",8.9,6.719,7.661
