"DateTime","Average","MNUMS 173 A"
"2024-06-03 14:00:00",4.2,57.75
"2024-06-04 14:00:00",,1.393
"2024-06-04 15:00:00",,1.055
"2024-06-04 16:00:00",,0.795
"2024-06-04 17:00:00",,0.51
"2024-06-04 18:00:00",,0.439
"2024-06-04 19:00:00",,0.764
"2024-06-04 20:00:00",,1.244
"2024-06-04 21:00:00",,0.939
"2024-06-04 22:00:00",,1.273
"2024-06-04 23:00:00",,0.454
"2024-06-05 00:00:00",,0.707
"2024-06-05 01:00:00",,0.863
"2024-06-05 02:00:00",,0.792
"2024-06-05 03:00:00",,1.043
"2024-06-05 04:00:00",,1.083
"2024-06-05 05:00:00",,0.731
"2024-06-05 06:00:00",,0.73
"2024-06-05 07:00:00",,0.855
"2024-06-05 08:00:00",,1.039
"2024-06-06 10:00:00",,6.022
"2024-06-06 11:00:00",,7.567
"2024-06-06 12:00:00",,6.076
"2024-06-06 13:00:00",,5.158
"2024-06-06 14:00:00",,4.178
"2024-06-06 15:00:00",,2.347
"2024-06-06 16:00:00",,2.236
"2024-06-06 17:00:00",,1.339
"2024-06-06 18:00:00",,0.888
"2024-06-06 19:00:00",,0.845
"2024-06-06 20:00:00",,0.871
"2024-06-06 21:00:00",,1.386
"2024-06-06 22:00:00",,3.74
"2024-06-06 23:00:00",,6.942
"2024-06-07 00:00:00",,7.154
"2024-06-07 01:00:00",,9.251
"2024-06-07 02:00:00",,9.292
"2024-06-07 03:00:00",,7.107
"2024-06-07 04:00:00",,6.216
"2024-06-07 05:00:00",,4.864
"2024-06-07 06:00:00",,4.19
"2024-06-07 07:00:00",,4.222
"2024-06-07 08:00:00",,5.205
"2024-06-07 09:00:00",,4.022
"2024-06-07 10:00:00",,3.854
"2024-06-07 11:00:00",4.2,4.066
