"DateTime","Average","MNUMS 183 A"
"2024-06-04 11:00:00",4.8,2.78
"2024-06-06 10:00:00",,6.723
"2024-06-06 11:00:00",,7.949
"2024-06-06 12:00:00",,6.449
"2024-06-06 13:00:00",,5.546
"2024-06-06 14:00:00",,4.611
"2024-06-06 15:00:00",,2.406
"2024-06-06 16:00:00",,2.107
"2024-06-06 17:00:00",,1.325
"2024-06-06 18:00:00",,0.825
"2024-06-06 19:00:00",,0.822
"2024-06-06 20:00:00",,0.884
"2024-06-06 21:00:00",,1.416
"2024-06-06 22:00:00",,3.776
"2024-06-06 23:00:00",,7.784
"2024-06-07 00:00:00",,7.983
"2024-06-07 01:00:00",,10.689
"2024-06-07 02:00:00",,9.923
"2024-06-07 03:00:00",,7.26
"2024-06-07 04:00:00",,6.202
"2024-06-07 05:00:00",,5.067
"2024-06-07 06:00:00",,4.512
"2024-06-07 07:00:00",,4.295
"2024-06-07 08:00:00",,5.612
"2024-06-07 09:00:00",,4.287
"2024-06-07 10:00:00",,4.03
"2024-06-07 11:00:00",,4.393
"2024-06-07 12:00:00",4.8,4.04
