"DateTime","Average","MNUMS 189 A"
"2024-06-04 10:00:00",5.7,4.22
"2024-06-06 10:00:00",,9.021
"2024-06-06 11:00:00",,10.833
"2024-06-06 12:00:00",,8.187
"2024-06-06 13:00:00",,6.68
"2024-06-06 14:00:00",,5.403
"2024-06-06 15:00:00",,3.2
"2024-06-06 16:00:00",,2.667
"2024-06-06 17:00:00",,1.934
"2024-06-06 18:00:00",,1.383
"2024-06-06 19:00:00",,0.806
"2024-06-06 20:00:00",,0.863
"2024-06-06 21:00:00",,1.229
"2024-06-06 22:00:00",,3.908
"2024-06-06 23:00:00",,8.793
"2024-06-07 00:00:00",,9.302
"2024-06-07 01:00:00",,13.121
"2024-06-07 02:00:00",,11.542
"2024-06-07 03:00:00",,8.43
"2024-06-07 04:00:00",,7.372
"2024-06-07 05:00:00",,5.642
"2024-06-07 06:00:00",,4.753
"2024-06-07 07:00:00",,5.19
"2024-06-07 08:00:00",,6.658
"2024-06-07 09:00:00",,5.138
"2024-06-07 10:00:00",,4.808
"2024-06-07 11:00:00",,4.917
"2024-06-07 12:00:00",5.7,4.812
