"DateTime","Average","MNUMS 202 A","MNUMS 202 B"
"2024-06-04 12:00:00",7.4,8.151,7.169
"2024-06-04 13:00:00",,5.582,5.008
"2024-06-06 10:00:00",,11.616,10.216
"2024-06-06 11:00:00",,12.079,12.014
"2024-06-06 12:00:00",,9.794,9.739
"2024-06-06 13:00:00",,9.029,8.596
"2024-06-06 14:00:00",,7.263,7.107
"2024-06-06 15:00:00",,4.567,4.192
"2024-06-06 16:00:00",,3.981,3.833
"2024-06-06 17:00:00",,2.869,2.393
"2024-06-06 18:00:00",,1.85,1.8
"2024-06-06 19:00:00",,1.847,1.456
"2024-06-06 20:00:00",,1.824,1.692
"2024-06-06 21:00:00",,2.586,2.469
"2024-06-06 22:00:00",,5.653,5.593
"2024-06-06 23:00:00",,10.062,10.255
"2024-06-07 00:00:00",,11.535,11.433
"2024-06-07 01:00:00",,14.435,14.305
"2024-06-07 02:00:00",,14.168,13.923
"2024-06-07 03:00:00",,11.663,11.431
"2024-06-07 04:00:00",,10.122,9.917
"2024-06-07 05:00:00",,8.416,8.224
"2024-06-07 06:00:00",,7.452,7.061
"2024-06-07 07:00:00",,7.191,6.872
"2024-06-07 08:00:00",,8.327,8.152
"2024-06-07 09:00:00",,7.012,6.897
"2024-06-07 10:00:00",,6.668,6.444
"2024-06-07 11:00:00",,7.585,7.001
"2024-06-07 12:00:00",7.4,6.755,6.662
