Sensor,Coefficient,Intercept
MNUMS44,0.9823953802653068,15.647722168203813
MNUMS43,0.9832388005657071,14.629468153778475
MNUMS72,0.9813765890166533,15.648704517305987
MNUMS26,0.9829490569108791,14.889564870745176
MNUMS 81,0.9638249582038245,29.55456352332817
MNUMS1,0.9833253369551788,14.743073899829596
MNUMS 75,0.987131869300657,10.64409371290094
MNUMS19,0.9832734978990979,14.672038631499163
MNUMS6,0.9823950945089462,15.24673493623311
MNUMS21,0.9817717701624222,15.750608253229416
MNUMS 86,0.9814563378144677,16.1757659979221
MNUMS17,0.9817745884691732,15.725818677296502
MNUMS28,0.9823351359940369,15.462750140628259
MNUMS10,0.9825216493882782,15.17328899047709
MNUMS 88,0.9796025005991074,17.057479725120288
MNUMS8,0.9838510112850606,14.513967533065625
MNUMS42,0.9828400857011268,15.186712783164808
MNUMS45,0.9819815770429723,15.599435246409257
MNUMS11,0.9833799804176147,14.19565083673217
MNUMS 89,0.9735192493559789,22.845004851793647
MNUMS9,0.9818458799186789,15.82396612019329
MNUMS16,0.9835335990376207,14.319557889357156
MNUMS29,0.983092176579292,14.940197966508663
MNUMS7,0.9829966700760974,14.92643780443666
MNUMS20,0.9835950773753273,14.328180477269484
MNUMS 87,0.9750243020393664,21.667027286942698
MNUMS 73,0.9852261300587338,12.300794811617152
MNUMS 74,0.9796502236771043,17.62915509008178
MNUMS27,0.9828994345882391,15.008292291034536
MNUMS 80,0.9883920875244033,9.214509083998678
MNUMS18,0.9831663311312228,14.844040597201797
MNUMS 116,0.984720715765512,12.808009524330828
MNUMS 111,0.9780178096453244,18.704276510537625
MNUMS 118,0.9678670246946071,27.682004649124337
MNUMS 120,0.9646350158813076,29.768548217306147
MNUMS 119,0.9639793852306926,30.3068055745116
MNUMS 110,0.9827910159764733,14.617063351035767
MNUMS 117,0.9828260515629265,14.669403031728962
mnums 104,0.9844746391897135,13.011074344393364
mnums 103,0.9787181971262193,17.412248858985322
mnums 102,0.9847733932509697,12.972208173104491
mnums 105,0.9868673147661174,10.848447218739466
MNUMS 93,0.9609138395715576,32.98997703366388
MNUMS34,0.9817713947219167,16.068814197242546
MNUMS 94,0.9639967370002068,30.009177194331528
MNUMS33,0.9826569359327557,15.233001231271146
MNUMS67,0.9537118230778084,39.97930723812283
MNUMS58,0.9825642963019716,15.253071227768373
MNUMS60,0.9878069514900589,10.404836567904567
MNUMS56,0.9829502605189333,15.31447517937761
MNUMS69,0.9883388230374517,9.637425618736074
MNUMS51,0.9824967947324862,15.318704775228866
MNUMS 95,0.9719963559286611,24.39913453824147
MNUMS32,0.9827674574935912,15.270012711898175
MNUMS 92,0.9649143865859043,29.74836797174646
MNUMS35,0.9812506266653699,16.347157873298784
MNUMS50,0.9841574738426363,14.111725818643322
MNUMS57,0.9828697410215398,15.086633879007195
MNUMS68,0.9883258115909512,10.013070509666704
MNUMS61,0.9831906939181525,14.561788197666829
MNUMS66,0.9822765533715867,14.984590904173047
MNUMS59,0.9838059804524691,12.295475870586642
MNUMS5,0.9818837413116832,15.949550604132128
MNUMS22,0.9827176313473329,15.19638148178501
MNUMS 85,0.9670370631238258,27.998025329388383
MNUMS25,0.9825256728316608,15.15288804873137
MNUMS 82,0.9712327095478034,23.92060157442188
MNUMS2,0.9826608312381072,15.38312360620921
MNUMS 76,0.9851722894308308,11.992785039949808
MNUMS13,0.9829008810515175,15.13257692145055
MNUMS14,0.9804192231435681,16.764958429252374
MNUMS 78,0.9742003886799776,21.69300254755933
MNUMS40,0.982767915483592,15.081730410242017
MNUMS47,0.9824380550540569,15.128579064751534
MNUMS71,0.9881177659177659,10.21109924830023
MNUMS49,0.9831815647033891,14.874618189575699
MNUMS15,0.984679919789449,13.463654568597008
MNUMS 79,0.973710302763033,22.490123907041607
MNUMS12,0.9839742617956037,13.908286821604975
MNUMS 77,0.9714750385703187,23.720070786071915
MNUMS24,0.9840059743852873,13.809237856120944
MNUMS 83,0.9645377844726916,29.68853045853166
MNUMS3,0.9813600306491108,16.477307058589304
MNUMS4,0.9811079145208237,16.058644803194284
MNUMS23,0.982747921938582,15.01253253160462
MNUMS 84,0.9767965327395522,19.89592701825825
MNUMS48,0.9830863539155283,14.917216185995244
MNUMS70,0.9848579230897795,12.394324624029878
MNUMS46,0.9834487961205016,14.386290212402969
MNUMS41,0.9805623859748975,16.68056680808661
MNUMS 112,0.9878342081954228,9.793448246598018
MNUMS 115,0.9762875885199225,19.664226884805885
MNUMS 114,0.9755983802431321,20.3546291035708
MNUMS 113,0.9843358592616992,13.393543194601534
MNUMS 109,0.9719297846594741,24.275140485760858
mnums 107,0.9875980792026348,10.147701421245415
mnums 106,0.9912848961602683,7.406981686789436
mnums 101,0.9778452814738934,18.257034010597295
mnums 108,0.988610992321651,9.318845384961378
MNUMS63,0.970613926487782,25.451684242848273
MNUMS64,0.9930080916794074,6.563433380839342
MNUMS52,0.9823583146464714,15.324547718528834
MNUMS55,0.9818146487905394,15.567653725771152
mnums 99,0.993483117418982,4.935821414210295
MNUMS39,0.9813693085428112,16.38755984573936
mnums 97,0.9854184273024206,11.421211856048444
MNUMS30,0.9821670229402524,15.309386552080355
MNUMS 90,0.9819791533285815,15.381610709548454
MNUMS37,0.9842255985034616,14.1126103802751
MNUMS54,0.9838644604303004,14.330375372157164
MNUMS53,0.9820947366351963,15.742464012357118
MNUMS65,0.9664556716538991,27.95623873338718
MNUMS62,0.9613425087150991,32.9052761742613
MNUMS 91,0.9716292726518742,24.106686510171585
MNUMS36,0.9817014703677479,15.954173180401654
MNUMS 96,0.9655633783346688,28.863406114412896
MNUMS31,0.9820384458870757,15.52454511904898
MNUMS38,0.981686826946548,15.93102789323882
mnums 98,0.9750516972973936,21.199549550390884
