Sensor,Coefficient,Intercept
MNUMS 148,0.9541716797920787,[4.394277]
MNUMS 149,1.0007001147864851,[0.04784978]
MNUMS 158,1.0013309057539357,[0.54788875]
MNUMS 128,1.0332572163842806,[-4.22830432]
MNUMS 178,0.9460588256276855,[6.649059]
MNUMS 129,1.0113871825865477,[-1.93709704]
MNUMS 139,1.0254542738539654,[-2.95680574]
MNUMS 168,0.9784117570922354,[2.56376207]
MNUMS 169,1.0045867957882146,[0.2745008]
MNUMS 138,1.0483653301042508,[-5.46954288]
MNUMS 121,0.9128488006527866,[7.94508331]
MNUMS 135,1.0166741648817084,[-3.03908629]
MNUMS 164,0.8245894505086482,[16.28429544]
MNUMS 170,1.0494084871590015,[-2.98122695]
MNUMS 165,0.9204560905002884,[7.9886065]
MNUMS 159,0.9823497423222858,[2.1583753]
MNUMS 134,0.9631844465769236,[1.67921969]
MNUMS 136,0.9907984923773452,[-0.0356961]
MNUMS 122,0.9135319686640179,[8.1461174]
MNUMS 167,0.977404912865601,[1.82614699]
MNUMS 166,0.9288737132338315,[6.87090179]
MNUMS 123,0.9672531135225783,[1.99567888]
MNUMS 137,1.0441648994639923,[-5.1639492]
MNUMS 133,0.9535636222755037,[3.86349984]
MNUMS 127,0.9968582119339107,[-1.18075088]
MNUMS 176,0.8361200847125536,[15.37313801]
MNUMS 162,0.8518098950858798,[13.88483943]
MNUMS 163,0.8408421804363542,[13.5033866]
MNUMS 177,0.9321067549708315,[7.11330247]
MNUMS 126,0.9362752602293644,[5.14592673]
MNUMS 132,0.9361541077142421,[4.17896617]
MNUMS 124,0.9937404156867214,[0.20718251]
MNUMS 130,1.0214889094864597,[-2.98309898]
MNUMS 161,0.8415690477267408,[14.80803792]
MNUMS 175,0.826387835166052,[16.35216492]
MNUMS 160,0.9724595531599282,[3.11538208]
MNUMS 131,0.954993214235844,[2.898543]
MNUMS 125,0.9945298355146537,[0.35992161]
MNUMS 142,0.9792314585365676,[1.06046922]
MNUMS 156,0.9526027765861094,[4.55939087]
MNUMS 157,0.9969221802074322,[0.39810796]
MNUMS 143,0.9873734361814235,[0.25651983]
MNUMS 155,0.9228171467748674,[7.33529731]
MNUMS 141,0.9345327870213939,[6.21218959]
MNUMS 140,1.0917398205214297,[-8.46900398]
MNUMS 154,0.8698601865759285,[12.32521871]
MNUMS 150,0.9890193934028534,[1.17481883]
MNUMS 144,0.9963829560909175,[-0.60756641]
MNUMS 145,0.9968665392570918,[0.33088295]
MNUMS 151,0.8272140427282257,[16.18782075]
MNUMS 147,0.9955498139234182,[-0.49040749]
MNUMS 153,0.9006585040163225,[8.42230195]
MNUMS 152,0.897951496219608,[9.55450053]
MNUMS 146,0.9494793975961361,[4.81421374]
