Sensor,Coefficient,Intercept
MNUMS 148,1.1709260223124152,0.7039750158582834
MNUMS 149,0.9499357161050573,0.8891697828880805
MNUMS 158,0.9525631703354243,-0.47487763477693434
MNUMS 128,0.9157066444007398,0.14306177226221095
MNUMS 178,0.9075652772177386,0.0012338732949253028
MNUMS 129,0.9932899462693814,0.7609744531326736
MNUMS 139,0.9968640567335363,0.9211159740543895
MNUMS 168,0.8785749837428427,0.272381148012494
MNUMS 169,0.9295348176501897,0.5337335514810659
MNUMS 138,0.9232069578218894,-0.23526956014585032
MNUMS 121,1.0204691684369132,0.7721178493692475
MNUMS 135,1.0245843487494317,-0.027262031897795858
MNUMS 164,0.9383307709976672,0.013800123401216169
MNUMS 170,0.966736532350074,0.18182280381071436
MNUMS 165,0.8833330857877817,-0.04404860788147058
MNUMS 159,0.9351356807160903,-0.21097150866226677
MNUMS 134,0.8997272029961699,-0.4124234288350763
MNUMS 136,1.0539336621877742,0.019405150912759517
MNUMS 122,0.9127593302168885,0.15132054404561934
MNUMS 167,0.8489486303412078,0.23837561428522758
MNUMS 166,0.9677235280484431,0.16997358808760765
MNUMS 123,0.8820464618452649,-0.1163710334294441
MNUMS 137,0.9281053387335924,0.027768629222714836
MNUMS 133,1.155280997437796,0.7563628015847561
MNUMS 127,0.9803713026820153,0.3092248055970641
MNUMS 176,0.9029763192951238,0.32635146320532105
MNUMS 162,0.9852709767425925,0.5316581450927229
MNUMS 163,0.9948049709309945,0.357794650136146
MNUMS 177,1.0363550623282383,0.5919033309647688
MNUMS 126,0.9285794343640654,0.20547071999370203
MNUMS 132,1.0469670532183362,0.4348618722004085
MNUMS 124,0.9247194796422729,0.024281511748203144
MNUMS 130,0.956699026122995,0.3221477081133637
MNUMS 161,1.0064207111300936,0.5290048775955114
MNUMS 175,0.8443921477100895,0.2733806442886477
MNUMS 160,0.9438381541366422,-0.19887849132745394
MNUMS 131,1.142029306071452,0.4037364898407345
MNUMS 125,1.0099290345050724,0.7996840027645922
MNUMS 142,1.076234651321741,0.23573802236483044
MNUMS 156,0.9362328490727035,0.26296660635936586
MNUMS 157,0.9596180884584024,0.5105679321706269
MNUMS 143,1.0007514280716514,0.337150670004676
MNUMS 155,0.879165259280451,-0.06552876355346005
MNUMS 141,1.05632405094765,-0.1378367510933458
MNUMS 140,0.9137051421692156,0.7663003666107295
MNUMS 154,0.8945371309064322,-0.09987064465017603
MNUMS 150,1.050219626382957,-0.3110724144747037
MNUMS 144,1.0252046000670614,0.18248596955636032
MNUMS 145,0.9547313408523467,-0.17469514880593984
MNUMS 151,0.9844377135401311,0.11109518164557386
MNUMS 147,0.8879792343522697,1.1789465701024149
MNUMS 153,0.9749086953655312,0.2531932246298636
MNUMS 152,0.9072234245229504,0.19890337910479516
MNUMS 146,0.9368450343630655,0.22824737819922447
