"DateTime","Average","MNUMS 163 A"
"2024-06-03 11:00:00",2.7,4.935
"2024-06-04 14:00:00",,1.433
"2024-06-04 15:00:00",,1.089
"2024-06-04 16:00:00",,0.972
"2024-06-04 17:00:00",,0.718
"2024-06-04 18:00:00",,0.671
"2024-06-04 19:00:00",,1.127
"2024-06-04 20:00:00",,1.632
"2024-06-04 21:00:00",,1.168
"2024-06-04 22:00:00",,1.591
"2024-06-04 23:00:00",,1.823
"2024-06-05 00:00:00",,2.372
"2024-06-05 01:00:00",,2.54
"2024-06-05 02:00:00",,2.117
"2024-06-05 03:00:00",,2.426
"2024-06-05 04:00:00",,2.588
"2024-06-05 05:00:00",,2.321
"2024-06-05 06:00:00",,2.522
"2024-06-05 07:00:00",,2.581
"2024-06-05 08:00:00",,3.252
"2024-06-05 09:00:00",,2.63
"2024-06-05 10:00:00",,3.165
"2024-06-05 11:00:00",,3.879
"2024-06-05 12:00:00",,4.121
"2024-06-05 13:00:00",,3.334
"2024-06-05 14:00:00",,1.534
"2024-06-05 15:00:00",,1.593
"2024-06-05 16:00:00",,0.697
"2024-06-05 17:00:00",,1.397
"2024-06-05 18:00:00",,2.159
"2024-06-05 19:00:00",,2.311
"2024-06-05 20:00:00",,2.006
"2024-06-05 21:00:00",,2.269
"2024-06-05 22:00:00",,2.591
"2024-06-05 23:00:00",,2.591
"2024-06-06 00:00:00",,3.23
"2024-06-06 01:00:00",,3.553
"2024-06-06 02:00:00",,4.019
"2024-06-06 03:00:00",,4.103
"2024-06-06 04:00:00",,4.175
"2024-06-06 05:00:00",,5.835
"2024-06-06 06:00:00",,5.774
"2024-06-06 07:00:00",,6.256
"2024-06-06 08:00:00",2.7,6.665
