"DateTime","Average","MNUMS 161 A"
"2024-06-04 09:00:00",2.9,2.455
"2024-06-04 14:00:00",,1.343
"2024-06-04 15:00:00",,1.283
"2024-06-04 16:00:00",,0.857
"2024-06-04 17:00:00",,0.822
"2024-06-04 18:00:00",,0.639
"2024-06-04 19:00:00",,1.307
"2024-06-04 20:00:00",,1.676
"2024-06-04 21:00:00",,1.46
"2024-06-04 22:00:00",,1.723
"2024-06-04 23:00:00",,2.205
"2024-06-05 00:00:00",,2.664
"2024-06-05 01:00:00",,2.745
"2024-06-05 02:00:00",,2.274
"2024-06-05 03:00:00",,2.582
"2024-06-05 04:00:00",,2.671
"2024-06-05 05:00:00",,2.408
"2024-06-05 06:00:00",,2.818
"2024-06-05 07:00:00",,3.077
"2024-06-05 08:00:00",,3.553
"2024-06-05 09:00:00",,2.747
"2024-06-05 10:00:00",,3.293
"2024-06-05 11:00:00",,3.975
"2024-06-05 12:00:00",,4.342
"2024-06-05 13:00:00",,3.579
"2024-06-05 14:00:00",,1.767
"2024-06-05 15:00:00",,1.538
"2024-06-05 16:00:00",,0.599
"2024-06-05 17:00:00",,1.589
"2024-06-05 18:00:00",,2.444
"2024-06-05 19:00:00",,2.732
"2024-06-05 20:00:00",,2.133
"2024-06-05 21:00:00",,2.577
"2024-06-05 22:00:00",,2.993
"2024-06-05 23:00:00",,2.786
"2024-06-06 00:00:00",,3.584
"2024-06-06 01:00:00",,4.129
"2024-06-06 02:00:00",,4.765
"2024-06-06 03:00:00",,4.72
"2024-06-06 04:00:00",,4.809
"2024-06-06 05:00:00",,6.601
"2024-06-06 06:00:00",,6.494
"2024-06-06 07:00:00",,6.998
"2024-06-06 08:00:00",2.9,7.335
